sym,entry_ts,exit_ts,snet,entry_price
RESOLV-USDT,1749736800,1752328800,0.4370651355617802,0.3213
HOME-USDT,1749826800,1752418800,0.0013428155242966745,0.02737
SPK-USDT,1750237200,1752829200,0.291190407874869,0.051498
NEWT-USDT,1750860000,1753452000,-0.1960890094771922,0.4801
TAC-USDT,1752660000,1755252000,0.19966282056433407,0.01772
ERA-USDT,1752850800,1755442800,0.20810611125985362,1.4081
C-USDT,1752933600,1755525600,0.2163930176848874,0.2799
TREE-USDT,1753884000,1756476000,0.24185480304387735,0.5447
PLUME-USDT,1755615600,1758207600,-0.4026596616399953,0.08561
DOLO-USDT,1756396800,1758988800,0.516277648088113,0.2406
MITO-USDT,1756566000,1759158000,0.30350852620155044,0.2064
WLFI-USDT,1756818000,1759410000,0.12431340758383497,0.2326
BARD-USDT,1758279600,1760871600,0.3377876095766917,0.9473
XAN-USDT,1759226400,1761818400,0.7065535987108296,0.14839
FF-USDT,1759237200,1761829200,0.2684580053316107,0.18576
2Z-USDT,1759496400,1762088400,0.6499791969405972,0.52203
TURTLE-USDT,1761231600,1763823600,0.5602264381151834,0.191
KITE-USDT,1762261200,1764853200,-0.4365580341509433,0.0689
MMT-USDT,1762344000,1764936000,0.6264564473780592,1.1686
SAPIEN-USDT,1762509600,1765101600,0.3207108062962964,0.27
MON-USDT,1764082800,1766674800,0.40907060901796694,0.04063
WET-USDT,1765378800,1767970800,0.2574961177471047,0.27458
BREV-USDT,1767794400,1770386400,0.4380398338629218,0.4771
ZKP-USDT,1767880800,1770472800,0.17494228248826282,0.1704
FOGO-USDT,1768572000,1771164000,0.3962464361916461,0.0407
LIT-USDT,1768572000,1771164000,0.1780047594695788,1.923
AZTEC-USDT,1770966000,1773558000,-0.39154050674187774,0.021761
ESP-USDT,1770987600,1773579600,-1.0721313400682593,0.0586
MANTRA-USDT,1772697600,1775289600,0.3199028718181817,0.022
ROBO-USDT,1772726400,1775318400,0.40457355042932946,0.04146
CFG-USDT,1773752400,1776344400,-0.6898174653884401,0.1609
KAT-USDT,1773925200,1776517200,-0.0267785399419167,0.01033
CHIP-USDT,1776862800,1779454800,0.3524324626326787,0.09572
MEGA-USDT,1777633200,1780225200,0.5660377115871327,0.15046
